title,type,rating,release_year,duration,description
American Circumcision,Movie,TV-14,2017,101 min,"With interviews from experts on both sides of the debate, this film questions the routine practice of non-religious infant circumcision in the U.S."
Alive and Kicking,Movie,TV-14,2016,89 min,Take an inside look at swing dancing's continued prosperity and the lively and joyous personalities that make the art form so unique.
Tunisian Victory,Movie,TV-14,1944,76 min,"British and American troops join forces to liberate a Nazi stranglehold in North Africa, sharing battles, hard work and a peaceful Christmas dinner."
Twice,Movie,TV-14,2010,53 min,"This documentary reenacts the experiences of late activist Tsutomu Yamaguchi, a survivor of both atomic bombings on Japan in 1945."
Addicted to Life,Movie,TV-14,2014,91 min,"Chasing extreme challenges, athletic daredevils test their limits in various environments from giant waves to snowy slopes around the world."
A Week in Watts,Movie,TV-14,2017,91 min,"Los Angeles police officers embark on an innovative program mentoring promising students from the harsh, gang-infested Watts neighborhood."
A new Capitalism,Movie,TV-14,2017,76 min,"Entrepreneurs worldwide explore alternatives to current capitalist structures, advocating for profitable businesses that also tackle social inequality."
Tyke Elephant Outlaw,Movie,TV-14,2015,78 min,"This documentary recounts a 1994 incident in Honolulu in which a circus elephant attacked and killed its trainer, then ran loose on the city streets."
Oklahoma City,Movie,TV-14,2017,102 min,Domestic terrorist Timothy McVeigh's bomb attack on an Oklahoma City federal building in 1995 is chronicled in this examination of the shocking event.
100 Years: One Woman's Fight for Justice,Movie,TV-14,2016,75 min,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.
#cats_the_mewvie,Movie,TV-14,2020,90 min,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers."
Under an Arctic Sky,Movie,TV-14,2017,40 min,"Six fearless surfers travel to the north coast of Iceland to ride waves unlike anything they've ever experienced, captured with high-tech cameras."
NOVA: Decoding the Weather Machine,Movie,TV-14,2018,113 min,"Scientists investigate Earth’s climate machine, looking for clues across the globe, from Greenland’s ice sheet to the desert of Australia."
San Pietro,Movie,TV-14,1945,32 min,"After the Allies invade Italy, the Liri Valley town of San Pietro becomes an example of the brutal effects of combat, both for soldiers and civilians."
On Yoga The Architecture of Peace,Movie,TV-14,2017,92 min,"Based on photographer Michael O’Neill’s book of the same name, this documentary traces the author’s 10-year journey through the landscape of yoga."
NOVA: Holocaust Escape Tunnel,Movie,TV-14,2017,54 min,"At a former Nazi execution site in Lithuania, an international team of archaeologists searches for a lost escape tunnel dug by Jewish prisoners."
Vegas Baby,Movie,TV-14,2016,78 min,"A Las Vegas doctor's controversial online contest sees anxious entrants vie for free in vitro fertilization, a procedure rarely covered by insurance."
Star Men,Movie,TV-14,2015,88 min,Four astronomers from England celebrate 50 years of friendship and achievement by taking a reflective road trip through the American Southwest.
Without Gorky,Movie,TV-14,2011,80 min,"A filmmaker trains the camera on her own family as she examines the impact her grandfather, troubled artist Arshile Gorky, had on three generations."
Lessons from a School Shooting: Notes from Dunblane,Movie,TV-14,2018,24 min,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart."
ReMastered: Who Shot the Sheriff,Movie,TV-14,2018,57 min,"In 1976, reggae icon Bob Marley survived an assassination attempt as rival political groups battled in Jamaica. But who exactly was responsible?"
Shirkers,Movie,TV-14,2018,97 min,"In 1992, Sandi Tan and her friends shot a quirky film on the streets of Singapore. Then the footage disappeared, sending her on a hunt for answers."
ReMastered: Tricky Dick & The Man in Black,Movie,TV-14,2018,59 min,"This documentary chronicles Johnny Cash's 1970 visit to the White House, where Cash's emerging ideals clashed with Richard Nixon's policies."
Why Are We Getting So Fat?,Movie,TV-14,2016,50 min,A Cambridge geneticist dispels misconceptions about living with obesity and explores why the epidemic continues to expand across the UK and America.
Sad Hill Unearthed,Movie,TV-14,2017,83 min,"An eclectic group of fans of 1966's ""The Good, the Bad and the Ugly"" attempt to restore the cemetery set in Spain where the movie's climax was filmed."
The Birth Reborn 3,Movie,TV-14,2018,73 min,"This intimate look at a São Paulo birth center features interviews with mothers, activists, doctors and midwives. Third in a series of films."
Reversing Roe,Movie,TV-14,2018,100 min,"Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade."
Abducted in Plain Sight,Movie,TV-14,2017,90 min,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice."
Behind the Curve,Movie,TV-14,2018,96 min,"Meet the growing, worldwide community of theorists who defend the belief that the Earth is flat while living in a society who vehemently rejects it."
BNK48: Girls Don't Cry,Movie,TV-14,2018,108 min,"Members of the Thai idol girl group BNK48 open up about their experiences beyond the spotlight, their training and the nature of fame."
Late Life: The Chien-Ming Wang Story,Movie,TV-14,2018,98 min,Injuries sidelined the bright career of New York Yankees pitcher Chien-Ming Wang. This documentary captures his relentless battle back to the majors.
Brené Brown: The Call to Courage,Movie,TV-14,2019,77 min,"With humor and empathy, Brené Brown discusses what it takes to choose courage over comfort in a culture defined by scarcity, fear and uncertainty."
ReMastered: Devil at the Crossroads,Movie,TV-14,2019,49 min,"Cloaked in mystery, bluesman Robert Johnson left his mark on American music. Now family, critics and famous fans look for the real man behind the music."
Winnie,Movie,TV-14,2017,85 min,"Winnie Mandela speaks about her extraordinary and controversial career, from her early life to her marriage to her ongoing efforts to end apartheid."
All In My Family,Movie,TV-14,2019,40 min,"After starting a family of his very own in America, a gay filmmaker documents his loving, traditional Chinese family's process of acceptance."
Old Lord Savanna,Movie,TV-14,2018,96 min,This documentary captures the environmental and societal impact of Brazil's Cerrado savanna suffering from severe deforestation.
The Bleeding Edge,Movie,TV-14,2018,101 min,This eye-opening look at the fast-growing medical device industry reveals how the rush to innovate can lead to devastating consequences for patients.
Camarón: The Film,Movie,TV-14,2018,105 min,"This documentary looks back on the life of legendary flamenco singer Camarón, who went from humble roots to rock star status to a tragic early death."
"Ram Dass, Going Home",Movie,TV-14,2018,32 min,"From his home on Maui, pioneering researcher, author and spiritual teacher Ram Dass reflects on love, life and death as his own days draw to a close."
How to Stage a Coup,Movie,TV-14,2017,47 min,"Explore how Caesar, Napoleon, Mussolini, Hitler and modern-day dictators consolidated their considerable power through bold and brazen coups."
Nobody Speak: Trials of the Free Press,Movie,TV-14,2017,96 min,"Hulk Hogan's court case against Gawker Media sheds light on wealthy, powerful figures who challenge freedom of the press in order to silence critics."
I Called Him Morgan,Movie,TV-14,2016,91 min,"Decades after serving a prison sentence for killing jazz musician Lee Morgan, his common-law wife, Helen, reflects on their lives and his legacy."
What Makes a Psychopath?,Movie,TV-14,2017,52 min,"This wide-ranging documentary examines the behaviors considered in a diagnosis of psychopathy and includes nonviolent, successful figures in history."
The Last Shaman,Movie,TV-14,2016,83 min,"In a last-ditch effort to prevent suicide, a clinically depressed young man travels to the Amazon to engage in an ancient hallucinatory ritual."
Heroin(e),Movie,TV-14,2017,40 min,"This documentary follows three women – a fire chief, a judge and a street missionary – as they battle West Virginia's devastating opioid epidemic."
When Two Worlds Collide,Movie,TV-14,2016,103 min,This documentary takes a hard look at how indigenous peoples clashed violently with the Peruvian government over land and economics in the Amazon.
Long Shot,Movie,TV-14,2017,40 min,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary."
Roberto Saviano: Writing Under Police Protection,Movie,TV-14,2016,45 min,"Italian TV host Pif revisits Roberto Saviano, who's been living under protection since publishing ""Gomorrah,"" his exposé on organized crime in Naples."
One of Us,Movie,TV-14,2017,95 min,"In the wake of trauma and abuse, three Hasidic Jews face ostracism, anxiety and danger as they attempt to leave their ultra-Orthodox community."
Joan Didion: The Center Will Not Hold,Movie,TV-14,2017,98 min,"Literary icon Joan Didion reflects on her remarkable career and personal struggles in this intimate documentary directed by her nephew, Griffin Dunne."
Palio,Movie,TV-14,2015,91 min,"In this documentary, a centuries-old horse race in the city of Siena, Italy, is the forum for a showdown between a young jockey and his former mentor."
